ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
1551669196,8.0,1,Twice Burned (Mira Romantic Suspense),Jan Coffey,2002.0,8.0
1551669226,6.0,2,The Hidden Heart,Candace Camp,2002.0,12.0
1551669234,7.333333333333333,3,Stonebrook Cottage,Carla Neggers,2002.0,22.0
1551669285,10.0,1,The Soul Catcher (Maggie O'Dell Novels (Hardcover)),Alex Kava,2002.0,10.0
1551669307,7.2,5,A Gift To Last,Debbie Macomber,2002.0,36.0
1551669323,4.0,1,Crimson Rain,Meg O'Brien,2002.0,4.0
1551669374,5.6,5,Sisters Found,Joan Johnston,2002.0,28.0
1551669404,6.0,1,Just Over The Mountain,Robyn Carr,2002.0,6.0
1551669412,8.0,6,Hot Shot,Charlotte Hughes,2002.0,48.0
1551669447,9.0,1,The Christmas Basket,Debbie Macomber,2002.0,9.0
1551669455,8.5,4,Deadly Grace,Taylor Smith,2003.0,34.0
1551669498,6.0,7,Girls Night,Stef Ann Holm,2002.0,42.0
155166951X,8.5,6,What The Lady Wants,Jennifer Crusie,2002.0,51.0
1551800713,10.0,1,Start and Run a Profitable Craft Business: A Step-By-Step Business Plan (Self-Counsel Business Series),William G. Hynes,1996.0,10.0
1551920107,8.0,1,Merchants of Venus: Inside Harlequin and the Empire of Romance,Paul Grescoe,1996.0,8.0
1551924579,5.0,1,A Sack of Teeth,Grant Buday,2003.0,5.0
1551990393,4.0,2,Motion Sickness: A Memoir,David Layton,2000.0,8.0
1552041778,5.0,1,Jane Doe,R. J. Kaiser,1999.0,5.0
1552095738,8.0,1,Trauma Junkie: Memoirs of an Emergency Flight Nurse,Janice Hudson,2001.0,8.0
1552630110,7.5,2,Getting over Edgar,Joan Barfoot,1999.0,15.0
1552633217,5.0,1,The Jasmine Man,Lola Lemire Tostevin,2001.0,5.0
1552633470,7.5,2,Critical Injuries,Joan Barfoot,2001.0,15.0
1552634523,3.0,1,Making a Stone of the Heart: A Novel,Cynthia Flood,2002.0,3.0
1552780724,7.0,1,Just A Minute More - Glimpses of our Great Canadian Heritage,Marsha Boulton,1999.0,7.0
1552781364,6.0,1,Moon Island,Rosie Thomas,1999.0,6.0
1552781542,6.333333333333333,3,Prodigy,Nancy Huston,2000.0,19.0
1552782395,5.5,2,Last Summer at Barebones,Diane Baker Mason,2002.0,11.0
1552782654,9.0,1,Letters from the Country IV,Marsha Boulton,2002.0,9.0
1552976246,2.0,1,Silent Witness: How Forensic Anthropology Is Used to Solve the World's Toughest Crimes,Roxana Ferllini Timms,2002.0,2.0
1553373405,10.0,1,ABC of Canada,Kim Bellefontaine,2002.0,10.0
1553662415,8.0,1,The Incidental Guru: Lessons in Healing from a Dog,Cindy Stone,2002.0,8.0
155369046X,8.0,1,Summer in a Red Mustang With Cookies,Boo King,2001.0,8.0
1555217532,7.0,1,The Complete Hot &amp; Spicy Cookbook,Emma Callery,1991.0,7.0
1555218067,8.5,2,The History of Witchcraft and Demonology,Montaque Summers,1993.0,17.0
1555611435,9.0,3,Your Pregnancy: Week by Week (Your Pregnancy Series),Glade B. Curtis M.D. OB/GYN,1997.0,27.0
1555611753,8.0,1,"Baby &amp; Toddler Sleep Program: How to Get Your Child to Sleep Through the Night, Every Night","John, MD Pearce",1999.0,8.0
1555612423,3.0,1,"Dads, Toddlers, and the Chicken Dance",Peter Downer,2000.0,3.0
1555661874,4.0,1,The Nearby Faraway: A Personal Journey Through the Heart of the West,David Petersen,1997.0,4.0
1555781020,6.0,1,The Girl with the Pop-Up Garden (Land of Pleasant Dreams),Tony Salerno,1986.0,6.0
1555831753,5.0,1,The Trouble With Harry Hay: Founder of the Modern Gay Movement,Stuart Timmons,1990.0,5.0
1555832067,10.0,1,The First Gay Pope: And Other Records,Lynne Yamaguchi Fletcher,1992.0,10.0
1555834310,7.0,2,Alec Baldwin Doesn't Love Me and Other Trials of My Queer Life,Michael Thomas Ford,1998.0,14.0
1555834930,5.5,2,Blue Lawn,William Taylor,1999.0,11.0
1555835589,7.0,1,Revolutionary Voices,Amy Sonnie,2000.0,7.0
1555835821,9.0,2,Soon to Be a Major Motion Picture,Warren Dunford,2000.0,18.0
1555835953,3.0,1,Witchfire,Lauren Maddison,2001.0,3.0
1555838537,8.0,1,Stone Butch Blues : A Novel,Leslie Feinberg,2004.0,8.0
1555910408,8.0,1,Keepers of the Earth Teachers Guide,Michael J Caduto,1988.0,8.0
1555910807,6.0,6,Biblioholism: The Literary Addiction,Tom Raabe,1991.0,36.0
1555913458,9.0,1,Diplomatic Dance: The New Embassy Life in America,Gail Scott,1999.0,9.0
1555971148,6.5,2,"The Graywolf Annual Five : Multi-Cultural Literay, Opening the American Mind (Graywolf Annual)",Rick Simonson,1988.0,13.0
1555972403,10.0,1,Otherwise : New and Selected Poems,Jane Kenyon,1996.0,10.0
1556111401,6.0,1,Intimate Evil: A Novel,Paul Reidinger,1989.0,6.0
1556113307,8.0,1,Inadmissible Evidence: A Novel,Philip Friedman,1992.0,8.0
1556432151,10.0,1,The Vaccine Guide: Making an Informed Choice,Randall Neustaedter,1996.0,10.0
1556520743,9.5,2,Assata: An Autobiography (Lawrence Hill &amp; Co.),Assata Shakur,1987.0,19.0
1556522126,6.0,1,Making Room for Making Art: A Thoughtful and Practical Guide to Bringing the Pleasure of Artistic Expression Back into Your Life,Sally Warner,1994.0,6.0
1556522347,8.0,1,Your Second Pregnancy: What to Expect This Time,Katie Tamony,1995.0,8.0
1556590415,6.0,1,The Book of Questions,Pablo Neruda,1991.0,6.0
1556610025,8.0,2,Winter Is Not Forever (Seasons of the Heart (Paperback)),Janette Oke,1988.0,16.0
1556610343,9.0,1,"The Key to Zion (Zion Chronicles, Book 5)",Bodie Thoene,1988.0,9.0
1556610351,7.5,2,"Love Takes Wing (Love Comes Softly, Book 7)",Janette Oke,1988.0,15.0
1556610599,8.0,2,Spring's Gentle Promise (Seasons of the Heart (Paperback)),Janette Oke,1989.0,16.0
1556610866,9.0,1,"Love Finds a Home (Love Comes Softly, Book 8)",Janette Oke,1989.0,9.0
1556611102,10.0,1,Song of the Silent Harp (Ballads of the Emerald Isle Series),B. J. Hoff,1991.0,10.0
1556611536,7.8,5,"Julia's Last Hope (Oke, Janette, Women of the West.)",Janette Oke,1990.0,39.0
1556612257,7.6,5,A Woman Named Damaris (Women of the West),Janette Oke,1991.0,38.0
1556612966,8.0,2,The Measure of a Heart (Women of the West),Janette Oke,1992.0,16.0
1556614373,8.0,1,"Where Two Seas Met (Cheney &amp; Shiloh: the Inheritance, 1)",Gilbert Morris,2001.0,8.0
1556614438,9.0,2,"Fire by Night (Refiner's Fire, 2)",Lynn N. Austin,2003.0,18.0
155661456X,8.0,1,Too Long a Stranger (Women of the West),Janette Oke,1994.0,8.0
1556615728,10.0,1,"The Moon by Night (Morris, Lynn)",Lynn Morris,2004.0,10.0
1556616120,8.0,1,The Bluebird and the Sparrow (Women of the West (Paperback Bethany House)),Janette Oke,1995.0,8.0
155661683X,8.0,3,A Gown of Spanish Lace (Women of the West),Janette Oke,1995.0,24.0
1556616988,9.0,1,"Island of the Innocent (Cheney Duval, M.D., 7)",Gilbert Morris,1998.0,9.0
1556618123,6.0,2,Drums of Change: The Story of Running Fawn (Women of the West (Paper)),Janette Oke,1996.0,12.0
1556618395,8.0,1,"Daughter of Twin Oaks (Secret Refuge, 1)",Lauraine Snelling,2000.0,8.0
1556618409,8.5,2,"Sisters of the Confederacy (Secret Refuge, 2)",Lauraine Snelling,2000.0,17.0
1556618638,8.0,1,"A Hope Beyond (Ribbons of Steel, 2)",Judith Pella,1997.0,8.0
1556618662,6.0,2,"The Shunning (Heritage of Lancaster County/Beverly Lewis, 1)",Beverly Lewis,1997.0,12.0
1556619510,7.0,1,The Tender Years (Prairie Legacy),Janette Oke,1997.0,7.0
1556701799,10.0,1,Scandinavian Feasts,Beatrice A. Ojakangas,1992.0,10.0
1557042608,4.0,1,The Sense and Sensibility: Screenplay &amp; Diaries : Bringing Jane Austen's Novel to Film,Emma Thompson,1995.0,4.0
1557042888,5.0,1,Wake Me When It's Funny: How to Break into Show Business and Stay There,Garry Marshall,1997.0,5.0
1557043035,9.0,1,Fly Away Home: The Novelization and Story Behind the Film,Patricia Hermes,1996.0,9.0
1557250537,8.0,2,Up on the Mountain,Kenneth J. Roberts,1992.0,16.0
1557346763,9.0,1,"Art for All Seasons: Simple, Fun Projects for Seasons and Holidays",Susie Alexander,1996.0,9.0
155734678X,9.0,1,Creative Crafts for Clever Kids: Exciting Projects from Everyday Stuff,Loralyn Radcliffe,1996.0,9.0
1557504644,7.0,1,First to Fight: An Inside View of the U.S. Marine Corps (Bluejacket Books),Victor H. Krulak,1999.0,7.0
1557733856,8.333333333333334,3,A New Leash on Death,Susan Conant,1990.0,25.0
1557734909,7.0,1,Bite of Death,Susan Conant,1991.0,7.0
1557736022,5.0,1,Lesson in Murder,John Buxton Hilton,1991.0,5.0
1557739404,7.0,3,Heaven on Earth (Diamond),Michelle Brandon,1993.0,21.0
1557739579,3.0,1,A Vow to Keep,Elizabeth Bonner,1993.0,3.0
1557832307,9.0,2,Cyrano De Bergerac,Edmond Rostand,1998.0,18.0
1557866031,10.0,1,From Modernism to Postmodernism: An Anthology (Blackwell Philosophy Anthologies),Lawrence E. Cahoone,1995.0,10.0
1558007725,6.0,1,Even Cowgirls Get the Blues,Tom Robbins,1993.0,6.0
1558008764,7.0,2,Slow Waltz in Cedar Bend (Unabridged),Robert James Waller,1993.0,14.0
1558020837,7.0,2,The Falstaff Cross (Falstaff Cross),John Kern,1988.0,14.0
1558171118,4.0,1,Warbots,G. Harry Stine,1988.0,4.0
1558172297,7.0,1,Azarius,Sidney Williams,1989.0,7.0
1558172378,8.0,1,"Deadly Seeds (The Destroyer, No 21)",Warren Murphy,1989.0,8.0
1558214291,5.0,1,"Dream Fish and Road Trips: Fly Fishing Tales from Alaska, Montana, and Beyond",E. Donnall Thomas Jr.,1996.0,5.0
1558216847,7.666666666666667,3,The Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,1997.0,23.0
1558504184,8.0,1,Bradymania!: Everything You Always Wanted to Know - And a Few Things You Probably Didnt (25th Anniversary Edition),Elizabeth Moran,1995.0,8.0
1558505377,9.0,1,Jacob Marley's Christmas Carol,Tom Mula,1995.0,9.0
1558505857,7.0,1,365 TV-Free Activities You Can Do with Your Child,Steve Bennett,1996.0,7.0
1558506438,9.0,1,The Everything Games Book: Hundreds of Classic Games for All Ages (The Everything),Tracy Fitzsimmons,1996.0,9.0
1558506454,8.0,1,Museum of Science Book of Answers &amp; Questions,Ann Rae Jonas,1996.0,8.0
1558506462,8.375,8,Small Miracles: Extraordinary Coincidences from Everyday Life,Yitta Halberstam,1997.0,67.0
1558508473,10.0,1,The Everything After College Book; Real-World Advice for Surviving and Thriving on Your Own,Elina Furman,1998.0,10.0
1558530185,9.0,1,A Father's Book of Wisdom,"H. Jackson, Jr. Brown",1989.0,9.0
1558530711,9.0,1,P. S. I Love You,"H. Jackson, Jr. Brown",1990.0,9.0
1558531025,8.3125,16,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,133.0
1558531211,7.5,2,"Life's Little Instruction Book : 511 Suggestions, Observations, and Reminders on How to Live a Happy and Rewarding Life (Life's Little Instruction Books (Hardcover))",H. Jackson Brown,1991.0,15.0
1558532161,8.875,8,Life's Little Instruction Book; Volume II,H. Jackson Brown,1993.0,71.0
1558533311,6.0,2,"Live and Learn and Pass It on: People Ages 5 to 95 Share What They'Ve Discovered About Life, Love, and Other Good Stuff (Live &amp; Learn &amp; Pass It on)",H. Jackson Brown,1995.0,12.0
1558533729,8.0,2,"America's Dumbest Criminals : Wild and Weird Stories of Fumbling Felons, Clumsy Crooks, and Ridiculous Robbers",Daniel R. Butler,1995.0,16.0
1558534245,10.0,1,Sailing on the Ice: And Other Stories from the Old Squire's Farm,C. A. Stephens,1996.0,10.0
1558534334,10.0,1,The Annual Directory of American and Canadian Bed &amp; Breakfasts 1997 (Annual),Tracey Menges,1996.0,10.0
1558535527,8.0,1,Alex: The Life Of A Child,Frank Deford,1997.0,8.0
1558538445,9.0,2,I Hope You Dance,Mark D. Sanders,2000.0,18.0
1558586113,9.5,2,The Canterville Ghost,Oscar Wilde,1996.0,19.0
1558612815,7.666666666666667,3,Allegra Maud Goldman,Edith Konecky,2001.0,23.0
155870406X,10.0,1,Stage Costume Step-By-Step: The Complete Guide to Designing and Making Stage Costumes for All Major Drama Periods and Genres from Classical Through the Twentieth Century,Mary T. Kidd,1996.0,10.0
155874262X,7.804347826086956,46,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993.0,359.0
1558743316,8.0,12,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994.0,96.0
1558743545,8.0,1,Chicken Soup for the Soul Cookbook (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1995.0,8.0
1558743669,7.884615384615385,52,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995.0,410.0
1558743790,8.333333333333334,3,A 3rd Serving of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996.0,25.0
1558744029,8.0,1,Chicken Soup for the Surviving Soul: 101 Healing Stories to Comfort Cancer Patients and Their Loved Ones,Jack Canfield,1996.0,8.0
1558744150,8.0,22,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996.0,176.0
1558744215,8.5,4,A Cup of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996.0,34.0
155874424X,8.666666666666666,9,Chicken Soup for the Soul at Work (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996.0,78.0
1558744592,8.666666666666666,6,A 4th Course of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1997.0,52.0
1558744606,8.444444444444445,9,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997.0,76.0
1558744630,7.411764705882353,17,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997.0,126.0
1558745017,8.0,10,Chicken Soup for the Christian Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997.0,80.0
1558745041,7.5,2,Chicken Soup for the Mother's Soul (Chicken Soup for the Soul (Hardcover Health Communications)),Jack Canfield,1997.0,15.0
1558745157,8.25,32,The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997.0,264.0
1558745629,8.5,2,Chicken Soup for the Country Soul (Chicken Soup for the Soul),Jack Canfield,1998.0,17.0
1558745718,8.529411764705882,17,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998.0,145.0
1558746099,7.0,4,"Chicken Soup for the Kid's Soul : 101 Stories of Courage, Hope and Laughter (Chicken Soup for the Soul (Paperback Health Communications))",Jack Canfield,1998.0,28.0
1558746161,7.545454545454546,11,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),Jack Canfield,1998.0,83.0
1558746218,7.0,1,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,7.0
1558746226,7.714285714285714,7,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998.0,54.0
1558746463,7.166666666666667,6,Chicken Soup for the Couple's Soul (Chicken Soup for the Soul),Jack Canfield,1999.0,43.0
1558746625,8.5,2,A 6th Bowl of Chicken Soup for the Soul (Chicken Soup for the Soul),Canfield. Jack,1999.0,17.0
1558746692,8.0,1,"Taste Berries for Teens - Inspirational short stories and encouragement on life, love, friendship and tough issues",Bettie Youngs,1999.0,8.0
1558746927,7.0,1,"The 60-Second Novelist - What 22,613 People Taught Me About Life",Dan Hurley,1999.0,7.0
1558746986,8.333333333333334,3,Chicken Soup for the Unsinkable Soul - Stories of Triumphing Over Life's Obstacles,Jack Canfield,1999.0,25.0
1558747028,8.2,5,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,1999.0,41.0
1558747060,7.75,4,"Chicken Soup for the Single's Soul - 101 Stories of Love and Inspiration for the Single, Divorced and Widowed",Jack Canfield,1999.0,31.0
1558747109,8.222222222222221,9,"Chicken Soup for the Cat and Dog Lover's Soul - Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters",Jack Canfield,1999.0,74.0
155874715X,9.0,1,Chicken Soup for the Christian Family Soul : Stories to Open the Heart and Rekindle the Spirit (Chicken Soup for the Soul Series),Jack Canfield,2000.0,9.0
1558747346,7.2,5,"Teen Love:  On Relationships, A Book for Teenagers",Kimberly Kirberger,1999.0,36.0
1558747575,8.0,1,A Little Secret for Dealing With Teens,Jennie Hernandez Hanks,2000.0,8.0
1558747613,8.2,5,"Chicken Soup for the Teenage Soul III : More Stories of Life, Love and Learning (Chicken Soup for the Soul)",Jack Canfield,2000.0,41.0
1558747699,8.0,1,Chicken Soup for the Writer's Soul : Stories to Open the Heart and Rekindle the Spirit of Writers (Chicken Soup for the Soul),Jack Canfield,2000.0,8.0
1558747966,7.0,1,Chicken Soup for the Expectant Mother's Soul,Jack Canfield,2000.0,7.0
1558748008,8.0,1,"Chicken Soup for the Preteen Soul - 101 Stories of Changes, Choices and Growing Up for Kids, ages 10-13",Jack Canfield,2000.0,8.0
1558748040,7.333333333333333,3,"Chicken Soup for the Teenage Soul Letters - Letters of Life, Love and Learning (Chicken Soup for the Teenage Soul)",Jack Canfield,2001.0,22.0
1558748865,8.571428571428571,7,"Chicken Soup for the Gardener's Soul, 101 Stories to Sow Seeds of Love, Hope and Laughter (Chicken Soup for the Soul)",Jack Canfield,2001.0,60.0
1558748903,8.333333333333334,3,Chicken Soup for the Mother's Soul 2 : 101 More Stories to Open the Hearts and Rekindle the Spirits of Mothers,Jack Canfield,2001.0,25.0
1558850481,8.0,2,Zoot Suit and Other Plays,Luis Valdez,1992.0,16.0
1558850767,8.0,1,Holy Radishes,Roberto G. Fernandez,1995.0,8.0
155896388X,9.0,1,The Unitarian Universalist Pocket Guide,John A. Buehrens,1999.0,9.0
1559029838,7.08,25,Call of the Wild,Jack London,0.0,177.0
1559210869,7.0,1,"East Wind: West Wind (Buck, Pearl S. Oriental Novels of Pearl S. Buck, 8th,)",Pearl S. Buck,1993.0,7.0
1559273909,8.0,1,Anything Considered : A Novel,Peter Mayle,1996.0,8.0
1559277785,7.0,2,Full House,Janet Evanovich,2002.0,14.0
1559360615,9.333333333333334,3,Angels in America: Millennium Approaches (Angels in America),Tony Kushner,1993.0,28.0
1559362324,9.0,1,Anna in the Tropics,Nilo Cruz,2003.0,9.0
1559390476,8.5,2,Buddhism Through American Women's Eyes,Karma Lekshe Tsomo,1995.0,17.0
1559581719,9.0,1,"The Food Lover's Handbook to the Southwest: Where to Find the Very Best Restaurants, Gourmet Shops, Outdoor Markets, Food Fiestas",Dave Dewitt,1992.0,9.0
1559702125,4.0,1,Letters to Sartre,Simone de Beauvoir,1993.0,4.0
1559703237,7.5,2,Trying to Save Piggy Sneed,John Irving,1996.0,15.0
1559704012,9.0,1,The File On H. : A Novel,Ismail Kadare,1998.0,9.0
1559704160,8.0,1,The Palace of Dreams,Ismail Kadare,1998.0,8.0
1559704640,10.0,1,A Short History of Decay,E M Cioran,1998.0,10.0
1559704950,6.5,2,All is Quiet On the Orient Express,Magnus Mills,1999.0,13.0
1559704993,8.0,2,Theo's Odyssey,Catherine Clement,1999.0,16.0
1559705884,8.0,1,The Little Girl Who Was Too Fond of Matches: A Novel,Gaetan Soucy,2001.0,8.0
1559706848,8.0,2,Galileo's Mistake : A New Look At the Epic Confrontation Between Galileo and the Church,Wade Rowland,2003.0,16.0
1559718641,10.0,1,Everything Cat: What Kids Really Want to Know About Cats (Kids' FAQs),Marty Crisp,2003.0,10.0
155972272X,8.0,1,Bette: An Intimate Biography of Bette Midler,George Mair,1995.0,8.0
1559723009,8.5,2,Martina: The Lives and Times of Martina Navratilova,Adrianne Blue,1995.0,17.0
1559723475,7.0,1,The Titanic Conspiracy: Cover-Ups and Mysteries of the World's Most Famous Sea Disaster,Robin Gardiner,1996.0,7.0
155994806X,8.0,1,Alice in Wonderland and Through the Looking Glass,Lewis Carroll,1993.0,8.0
1559948787,8.0,1,Men are from Mars Women are from Venus,John Gray,2004.0,8.0
1560232234,9.0,1,To the Edge,Cameron Abbott,2001.0,9.0
1560238763,8.0,1,Reviving the Tribe: Regenerating Gay Men's Sexuality and Culture in the Ongoing Epidemic (Haworth Gay &amp; Lesbian Studies),Eric E. Rofes,1995.0,8.0
1560251476,4.0,1,In the Shadow of the Vampire: Reflections from the World of Anne Rice,Jana Marcus,1997.0,4.0
156025307X,5.0,1,"Cybershock: Surviving Hackers, Phreakers, Identity Thieves, Internet Terrorists and Weapons of Mass Disruption",Winn Schwartau,2001.0,5.0
1560431008,8.0,1,"Woman, Thou Art Loosed: Healing the Wounds of the Past",T.D. Jakes,1994.0,8.0
1560442956,10.0,1,Everyone's Mandala Coloring Book Vol. 2,Monique Mandali,2001.0,10.0
1560760478,7.666666666666667,3,Sojourn (Forgotten Realms Novel: Dark Elf Trilogy),R.A. Salvatore,1991.0,23.0
1560760516,7.0,1,"Firstborn (Dragonlance Elven Nations, Vol 1)",Paul B. Thompson,1991.0,7.0
156076113X,7.0,1,"The Kinslayer Wars (Dragonlance Elven Nations, vol.2)",Douglas Niles,1991.0,7.0
1560761210,7.0,1,The Verdant Passage (Dark Sun World),Troy Denning,1991.0,7.0
1560766263,8.0,1,Prince of Lies (Forgotten Realms),James Lowder,1993.0,8.0
1560768983,7.0,1,"Go Quest, Young Man (Tsr Books)",K.B. Bogen,1994.0,7.0
1560974109,6.0,1,Mail Order Bride,Mark Kalesniko,2003.0,6.0
1560980087,10.0,1,Bertha Lum (American Printmakers),Mary Evans O'Keefe Gravalos,1991.0,10.0
1561003913,7.333333333333333,3,Politically Correct Bedtime Stories,James Pinn Garner,1994.0,22.0
1561008931,7.0,1,Knee Deep in Paradise (Nova Audio Books),Brett Butler,1996.0,7.0
1561291935,9.0,1,The Rape of Kuwait: The True Story of Iraqi Atrocities Against a Civilian Population,Jean P. Sasson,1991.0,9.0
1561381527,9.0,2,"Tea Time/Tradition, Presentation, and Recipes (Running Press Miniature Editions)",M. Dalton King,1992.0,18.0
1561384380,8.0,1,"The Whole Christmas Catalogue: The Complete Compendium of Christmas Traditions, Recipes, Crafts, Carols, Lore, and More",Naomi Black,1994.0,8.0
156138450X,5.0,1,Sisters,Carol Saline,1994.0,5.0
1561385751,8.333333333333334,3,"Wonderplay: Interactive &amp; Developmental Games, Crafts, &amp; Creative Activities for Infants, Toddlers, &amp; Preschoolers",Fretta Reitzes,1995.0,25.0
